Year,Harvest_Males,Harvest_Females,Effort_Males,Effort_Females
1953,168,135,3830,3830
1954,136,112,2688,2688
1955,76,78,3241,3241
1956,56,46,2299,2299
1957,47,31,2007,2007
1958,83,64,2558,2558
1959,75,59,2412,2412
1960,120,75,2203,2203
1961,108,88,2866,2866
1962,142,139,2805,2805
1963,104,91,2901,2901
1964,114,113,3797,3797
1965,131,131,3097,3097
1966,122,105,2977,2977
1967,130,108,3679,3679
1968,98,93,3097,3097
1969,129,61,3251,3251
1970,116,110,3631,3631
1971,116,109,4171,4171
1972,71,74,3775,3775
1973,70,66,3480,3480
1974,50,57,3413,3413
1975,53,44,2938,2938
1976,41,34,2608,2608
1977,36,33,2583,2583
1978,40,35,2835,2835
1979,44,36,2889,2889
1980,25,6,2383,77
1981,29,3,2579,66
1982,20,8,1835,60
1983,58,14,2350,155
1984,74,33,2843,265
1985,89,39,3142,538
1986,110,65,3666,940
